county,year,zhvi,seasonality_score,median_income,median_rent,pct_age_25_34,pct_bachelors_plus,zhvi_next,target_growth,lagged_growth,predicted_zhvi_next,predicted_growth,opportunity_score
Columbia County,2025,441583.5739833333,0.0109223309083794,81528.0,1260.0,0.0932896890343698,0.3937153808891978,452476.0003,0.02466673798214655,0.030000678075959037,453812.62,0.027693627519596677,0.006271435160004824
Cortland County,2022,158736.72226666668,0.0458766612149439,65029.0,884.0,0.1018928456849534,0.2784040445446471,165657.81279166669,0.043601067391155116,0.09916301190669291,165982.77,0.04564818559224419,0.028757167806173045
Cortland County,2023,165657.81279166669,0.0162435362296661,67527.0,911.0,0.1015710868300252,0.2833230642842473,174569.792475,0.05379752112591952,0.043601067391155116,176571.98,0.06588383245805081,0.03977103847248492
Cortland County,2024,174569.792475,0.0248919711169959,70418.0,984.0,0.1016952817540976,0.2913667837773305,183386.27336666663,0.05050404635687035,0.05379752112591952,183842.4,0.053116943335588425,0.030427339451179827
Cortland County,2025,183386.27336666663,0.021800404386652,70418.0,984.0,0.1016952817540976,0.2913667837773305,189985.373,0.03598469783034945,0.05050404635687035,197104.27,0.07480381168390562,0.040790300337441944
Delaware County,2022,211408.94915,0.0683032028738874,58338.0,785.0,0.0942715684297779,0.2499547620483744,214948.86699166664,0.016744408672856034,0.15286012696336213,220504.48,0.04302341628190246,0.020350801825033554
Delaware County,2023,214948.86699166664,0.0171977018620082,60226.0,848.0,0.0949473636955399,0.266954135633085,226052.76178333332,0.051658308076111735,0.016744408672856034,226355.98,0.05306898120926407,0.02468911883649124
Delaware County,2024,226052.76178333332,0.0332653676708106,63337.0,880.0,0.092656281610358,0.2759139914473288,233818.06419166664,0.03435172544264772,0.051658308076111735,231824.75,0.025533809766938417,0.011295508873902642
Delaware County,2025,233818.06419166664,-0.0091962208094174,63337.0,880.0,0.092656281610358,0.2759139914473288,233327.2692,-0.002099046510214491,0.03435172544264772,242108.97,0.03545878538938334,0.015165118021128113
Dutchess County,2022,394126.2042833333,0.0591628646669006,94578.0,1425.0,0.1093241406294798,0.3898172472331022,410145.6186916667,0.040645392856997586,0.11026582253984625,410882.53,0.04251513039366629,0.010787186929368085
