county,year,zhvi,seasonality_score
New York County,2026,1203576.5,
Niagara County,2021,174685.60906666666,0.0672711109288214
Niagara County,2022,194014.99836666664,0.06724128820253486
Niagara County,2023,204080.09184166664,0.034212948440770316
Niagara County,2024,217056.80970833334,0.03031752048091736
Niagara County,2025,227643.64450833332,0.01897461710392599
Niagara County,2026,235201.4987,
Oneida County,2021,159889.67651666666,0.0508824034105433
Oneida County,2022,177144.59875833333,0.05947878743863549
Oneida County,2023,184413.25231666665,0.02407600904781811
Oneida County,2024,198028.131925,0.028794051139979102
Oneida County,2025,211390.13853333332,0.02513334500055346
Oneida County,2026,220233.938,
Onondaga County,2021,176376.53069166667,0.05569349949770994
Onondaga County,2022,194734.83230833334,0.06351511881718
Onondaga County,2023,212564.086075,0.047175434315672234
Onondaga County,2024,236618.91255833334,0.04207617434170705
Onondaga County,2025,253318.085825,0.020505181257259582
Onondaga County,2026,260844.1761,
Ontario County,2021,219298.4608166667,0.05131956578783134
Ontario County,2022,244407.40875000003,0.06895061323753728
Ontario County,2023,261637.61085833333,0.04095036680900117
Ontario County,2024,279562.10000000003,0.029615832858176476
Ontario County,2025,292483.16105833335,0.007772512545619561
Ontario County,2026,300873.8021,
Orange County,2021,326890.4160916667,0.05698516517554434
Orange County,2022,374578.4822083334,0.061056588954201796
Orange County,2023,393514.95431666664,0.01682909047670492
Orange County,2024,422911.3981666667,0.026048545959013923
Orange County,2025,439216.6155083333,0.007730940019471905
Orange County,2026,447341.7418,
Orleans County,2021,140537.91250833333,0.06924735429252823
Orleans County,2022,154940.790275,0.07172950592594037
Orleans County,2023,163162.982625,0.04004678972649501
Orleans County,2024,174577.6792916667,0.029053269469717095
Orleans County,2025,179980.5427,0.003974530415142713
Orleans County,2026,186145.9212,
Oswego County,2021,141022.147975,0.04786694647188838
Oswego County,2022,155760.24413333333,0.06395889696775742
Oswego County,2023,162454.25775000002,0.03761244763790971
Oswego County,2024,178193.1509,0.04827251002831214
Oswego County,2025,185249.91246666666,-0.0032242244959881537
Oswego County,2026,190039.7017,
Otsego County,2021,163043.10375833334,0.030419439115726525
Otsego County,2022,179575.36525,0.060382849182181085
Otsego County,2023,187930.897525,0.028235266939270712
Otsego County,2024,198414.37410000002,0.02789882504607519
Otsego County,2025,199928.41753333333,-0.0005999114538877544
Otsego County,2026,197647.0396,
Putnam County,2021,406985.05562500004,0.04507972852766843
Putnam County,2022,447593.4599083333,0.05180100929855816
Putnam County,2023,468216.7753833334,0.024517978839577407
Putnam County,2024,507240.7353,0.03052792038117074
Putnam County,2025,530622.0452833333,0.008528132543940692
Putnam County,2026,542476.0388,
Queens County,2021,685079.2333083333,0.015187441209788908
Queens County,2022,713942.1349666667,0.016864068703298356
Queens County,2023,680343.887475,-0.025192449529066224
Queens County,2024,683248.6743166667,0.020467173621937895
Queens County,2025,712261.0322833332,0.014070733296363748
Queens County,2026,730362.8554,
Rensselaer County,2021,233738.74704166665,0.047886923411238784
Rensselaer County,2022,257948.6096,0.05254409186328247
Rensselaer County,2023,267928.0859416667,0.017497497381477337
Rensselaer County,2024,283304.41725833336,0.027510512290988817
Rensselaer County,2025,297255.10926666664,0.013187893959555995
Rensselaer County,2026,304815.2316,
Richmond County,2021,593023.5973833334,0.014713622659028522
Richmond County,2022,640218.444975,0.03125739921892373
Richmond County,2023,646377.4217833333,0.008430590571916766
Richmond County,2024,662983.1401666667,0.01727941674852319
Richmond County,2025,688302.0749583333,0.011368659562273438
Richmond County,2026,708411.6761,
Rockland County,2021,529327.9096499999,0.03639907237256813
Rockland County,2022,593770.3963166666,0.054818476604414294
Rockland County,2023,627886.3778666666,0.01823440163639471
Rockland County,2024,687389.3304666666,0.03299309831724953
Rockland County,2025,712074.0266999999,0.0070593683995321945
Rockland County,2026,726311.4031,
Saint Lawrence County,2021,106522.83258333332,0.047061271590695355
Saint Lawrence County,2022,118263.92619166667,0.05642246359049248
Saint Lawrence County,2023,120786.157525,0.02012064684458015
Saint Lawrence County,2024,127384.41692500001,0.015894539332738825
Saint Lawrence County,2025,131697.21536666667,0.00822106711955272
Saint Lawrence County,2026,133574.0363,
Saratoga County,2021,336885.46965,0.04912676377139212
Saratoga County,2022,373562.1506333333,0.05044660960249255
Saratoga County,2023,392029.43483333336,0.02356277865097493
Saratoga County,2024,414423.2128416667,0.021814824004315767
Saratoga County,2025,430329.2369666667,0.00672777538112817
Saratoga County,2026,440173.87,
Schenectady County,2021,220919.62025,0.051195490560560046
Schenectady County,2022,243240.74375,0.04530989559791217
Schenectady County,2023,256873.057625,0.02379579064245481
Schenectady County,2024,274520.73209999996,0.031063548063273393
Schenectady County,2025,285772.80694166664,0.011755347037870297
Schenectady County,2026,293276.1713,
Schoharie County,2021,171809.48926666667,0.05043561734433894
Schoharie County,2022,191953.5611833333,0.0634103229260636
Schoharie County,2023,201524.80344166665,0.01722186334985824
